,Metropolitan,Quarterly Income,Total Income,Avg Income
352,"Topeka, KS","6,304","1,165,138,021",829
353,"Trenton, NJ","11,056","4,032,677,854","1,238"
354,"Tucson, AZ","18,704","4,252,624,549",900
355,"Tulsa, OK","28,324","5,118,780,386",920
356,"Tuscaloosa, AL","5,224","1,116,526,186",850
357,"Tyler, TX","6,451","1,146,293,239",849
358,"Urban Honolulu, HI","26,423","6,193,025,405","1,015"
359,"Utica-Rome, NY","6,520","1,246,619,159",795
360,"Valdosta, GA","3,257","498,449,436",707
361,"Vallejo-Fairfield, CA","11,686","2,010,764,412","1,093"
362,"Victoria, TX","2,655","454,507,760",865
363,"Vineland-Bridgeton, NJ","3,132","644,976,675",859
364,"Virginia Beach-Norfolk-Newport News, VA-NC","42,476","8,586,404,341",877
365,"Visalia-Porterville, CA","10,951","1,621,259,472",753
366,"Waco, TX","5,647","1,317,858,942",867
367,"Walla Walla, WA","2,352","336,237,921",844
368,"Warner Robins, GA","3,364","795,172,645",831
369,"Washington-Arlington-Alexandria, DC-VA-MD-WV","194,511","58,421,146,511","1,427"
370,"Waterloo-Cedar Falls, IA","4,942","981,503,848",852
371,"Watertown-Fort Drum, NY","2,858","422,138,059",790
372,"Wausau, WI","3,552","834,504,315",900
373,"Weirton-Steubenville, WV-OH","2,530","377,220,814",776
374,"Wenatchee, WA","4,704","632,791,258",742
375,"Wheeling, WV-OH","3,779","835,290,972",984
376,"Wichita, KS","15,611","3,230,506,735",857
377,"Wichita Falls, TX","3,722","573,445,378",764
378,"Williamsport, PA","3,132","563,222,124",848
379,"Wilmington, NC","9,550","1,390,241,923",844
380,"Winchester, VA-WV","3,968","705,570,917",883
381,"Winston-Salem, NC","14,186","2,966,578,705",882
382,"Worcester, MA-CT","28,975","5,123,638,700","1,019"
383,"Yakima, WA","7,860","1,240,852,019",766
384,"York-Hanover, PA","9,159","2,123,585,887",914
385,"Youngstown-Warren-Boardman, OH-PA","13,116","2,115,181,064",777
386,"Yuba City, CA","4,993","555,339,551",845
387,"Yuma, AZ","3,224","581,157,273",762
