,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018
127,"Gadsden, AL","2,606",3.3,"2,092","326,515,952",695,,102501.0
831,"Gaffney, SC",,,,,,,57078.0
128,"Gainesville, FL","11,112",3.5,"7,556","1,582,620,330",904,83.30%,288212.0
129,"Gainesville, GA","8,253",2.9,"4,430","1,010,780,971",875,,202148.0
832,"Gainesville, TX",,,,,,,40574.0
833,"Galesburg, IL",,,,,,,50112.0
834,"Gallup, NM",,,,,,,72290.0
835,"Garden City, KS",,,,,,,40554.0
508,"Garden Grove, CA",,,,,,80.10%,
836,"Gardnerville Ranchos, NV",,,,,,,48467.0
465,"Garland, TX",,,,,,84.90%,
614,"Gary, IN Metro Division",,,,,,,701386.0
837,"Georgetown, SC",,,,,,,62249.0
130,"Gettysburg, PA","2,999",3.6,"2,178","361,648,354",792,,102811.0
396,"Gilbert, AZ",,,,,,93.40%,
838,"Gillette, WY",,,,,,,46140.0
839,"Glasgow, KY",,,,,,,54206.0
583,"Glendale, AZ",,,,,,69%,
521,"Glendale, CA",,,,,,78.80%,
131,"Glens Falls, NY","4,437",3.5,"3,655","602,207,331",827,,125462.0
840,"Glenwood Springs, CO",,,,,,,77720.0
841,"Gloversville, NY",,,,,,,53591.0
132,"Goldsboro, NC","3,908",4.7,"2,245","380,739,645",704,,123248.0
133,"Grand Forks, ND-MN","4,915",2.9,"3,258","572,138,855",854,,102299.0
134,"Grand Island, NE","3,850",3.4,"2,980","423,449,737",754,,85088.0
135,"Grand Junction, CO","4,842",3.5,"5,011","705,252,602",854,,153207.0
523,"Grand Prairie, TX",,,,,,78.60%,
555,"Grand Rapids, MI",,,,,,75.50%,
842,"Grand Rapids, MN",,,,,,,45108.0
136,"Grand Rapids-Wyoming, MI","52,734",3.9,"22,541","6,499,227,759",909,,1069405.0
137,"Grants Pass, OR","2,167",5.3,"2,637","250,252,789",689,,87393.0
843,"Grants, NM",,,,,,,26746.0
844,"Great Bend, KS",,,,,,,26111.0
138,"Great Falls, MT","3,026",2.8,"2,847","359,493,043",785,,81643.0
139,"Greeley, CO","10,987",2.6,"7,660","1,413,386,505",980,,314305.0
140,"Green Bay, WI","17,091",3.3,"8,505","2,051,739,240",898,77.30%,321591.0
