State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet
17,"Rock Island County, Illinois",146205.0,40.0,51426.0,27822.0,20597.0,14.087753496802435,3.597004206422489,60064.0,5681.0,37606.0,45584.0,29889.0,14085.0,3261.0,588.0,11982.0
17,"St. Clair County, Illinois",264433.0,38.0,51103.0,28643.0,44376.0,16.781566597209878,3.7741129132899447,103125.0,8211.0,59427.0,71967.0,44862.0,23843.0,5847.0,1227.0,26127.0
17,"Shelby County, Illinois",21906.0,44.6,49807.0,24808.0,2630.0,12.005843147995982,2.1866155391217017,9183.0,713.0,4753.0,6093.0,2788.0,2719.0,783.0,409.0,2472.0
17,"Wabash County, Illinois",11568.0,42.8,49716.0,25105.0,1498.0,12.949515905947441,3.769017980636238,4915.0,582.0,2527.0,3471.0,2127.0,1114.0,354.0,126.0,1098.0
17,"Champaign County, Illinois",207946.0,29.7,49586.0,28463.0,41088.0,19.758975887970916,2.732440152731959,81418.0,5171.0,57574.0,65811.0,38006.0,25501.0,4577.0,1096.0,10967.0
17,"Calhoun County, Illinois",4897.0,46.5,53641.0,25660.0,601.0,12.272820093935062,1.694915254237288,1881.0,100.0,946.0,1187.0,459.0,618.0,163.0,70.0,650.0
17,"Cumberland County, Illinois",10899.0,41.9,50680.0,24956.0,1533.0,14.065510597302504,2.4956418020001836,4287.0,800.0,1655.0,3009.0,2022.0,656.0,586.0,227.0,1122.0
17,"Ford County, Illinois",13470.0,43.2,50851.0,26611.0,2044.0,15.174461766889383,3.2442464736451373,5684.0,567.0,3199.0,4275.0,2842.0,1249.0,457.0,144.0,1193.0
17,"Jo Daviess County, Illinois",22046.0,49.4,55532.0,32401.0,1658.0,7.5206386646103605,2.254377211285494,9795.0,1024.0,4763.0,7357.0,4879.0,1782.0,1632.0,541.0,2002.0
17,"Kane County, Illinois",529402.0,36.6,74862.0,33486.0,54558.0,10.305590080883714,3.2820049792029495,175930.0,14777.0,129891.0,150095.0,110558.0,35687.0,8532.0,1355.0,21134.0
